id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
86,Circle City Manor,1300 Lincoln Avenue,Washington,Daviess,IN,46086,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30086,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
87,Corn Belt Commons,1400 Oak Street,Washington,Daviess,IN,46087,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30087,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
88,Indiana Crossroads,1500 Maple Avenue,Washington,Daviess,IN,46088,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30088,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
89,Hoosier Heritage Manor,1000 Main Street,Lawrenceburg,Dearborn,IN,46089,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30089,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
90,Crossroads Commons,1100 State Street,Lawrenceburg,Dearborn,IN,46090,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30090,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
91,Wabash Valley Care,1200 Washington Street,Lawrenceburg,Dearborn,IN,46091,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30091,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
92,Circle City Manor,1300 Lincoln Avenue,Lawrenceburg,Dearborn,IN,46092,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30092,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
93,Corn Belt Commons,1400 Oak Street,Lawrenceburg,Dearborn,IN,46093,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30093,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
94,Indiana Crossroads,1500 Maple Avenue,Lawrenceburg,Dearborn,IN,46094,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30094,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.dearborn-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
95,Hoosier Heritage Manor,1000 Main Street,Greensburg,Decatur,IN,46095,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30095,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
96,Crossroads Commons,1100 State Street,Greensburg,Decatur,IN,46096,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30096,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
97,Wabash Valley Care,1200 Washington Street,Greensburg,Decatur,IN,46097,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30097,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
98,Circle City Manor,1300 Lincoln Avenue,Greensburg,Decatur,IN,46098,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30098,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
99,Corn Belt Commons,1400 Oak Street,Greensburg,Decatur,IN,46099,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30099,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
100,Indiana Crossroads,1500 Maple Avenue,Greensburg,Decatur,IN,46100,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30100,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.decatur-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
101,Hoosier Heritage Manor,1000 Main Street,Auburn,DeKalb,IN,46101,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30101,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
102,Crossroads Commons,1100 State Street,Auburn,DeKalb,IN,46102,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30102,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
103,Wabash Valley Care,1200 Washington Street,Auburn,DeKalb,IN,46103,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30103,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
104,Circle City Manor,1300 Lincoln Avenue,Auburn,DeKalb,IN,46104,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30104,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
105,Corn Belt Commons,1400 Oak Street,Auburn,DeKalb,IN,46105,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30105,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
106,Indiana Crossroads,1500 Maple Avenue,Auburn,DeKalb,IN,46106,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30106,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.dekalb-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
107,Hoosier Heritage Manor,1000 Main Street,Muncie,Delaware,IN,46107,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30107,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1434,-85.42830000000001
108,Crossroads Commons,1100 State Street,Muncie,Delaware,IN,46108,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30108,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1534,-85.4183
109,Wabash Valley Care,1200 Washington Street,Muncie,Delaware,IN,46109,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30109,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.163399999999996,-85.4083
110,Circle City Manor,1300 Lincoln Avenue,Muncie,Delaware,IN,46110,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30110,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.173399999999994,-85.3983
111,Corn Belt Commons,1400 Oak Street,Muncie,Delaware,IN,46111,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30111,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1834,-85.3883
112,Indiana Crossroads,1500 Maple Avenue,Muncie,Delaware,IN,46112,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30112,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1934,-85.3783
113,Limestone Ridge,1600 Pine Street,Muncie,Delaware,IN,46113,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30113,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.203399999999995,-85.3683
114,Prairie Creek Manor,1700 Cedar Avenue,Muncie,Delaware,IN,46114,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30114,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.delaware-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.2134,-85.3583
115,Hoosier Heritage Manor,1000 Main Street,Jasper,Dubois,IN,46115,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30115,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
116,Crossroads Commons,1100 State Street,Jasper,Dubois,IN,46116,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30116,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
117,Wabash Valley Care,1200 Washington Street,Jasper,Dubois,IN,46117,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30117,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
118,Circle City Manor,1300 Lincoln Avenue,Jasper,Dubois,IN,46118,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30118,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
119,Corn Belt Commons,1400 Oak Street,Jasper,Dubois,IN,46119,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30119,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
120,Indiana Crossroads,1500 Maple Avenue,Jasper,Dubois,IN,46120,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30120,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.dubois-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
121,Hoosier Heritage Manor,1000 Main Street,Elkhart,Elkhart,IN,46121,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30121,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.631800000000005,-86.0167
122,Crossroads Commons,1100 State Street,Elkhart,Elkhart,IN,46122,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30122,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6418,-86.0067
123,Wabash Valley Care,1200 Washington Street,Elkhart,Elkhart,IN,46123,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30123,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6518,-85.99669999999999
124,Circle City Manor,1300 Lincoln Avenue,Elkhart,Elkhart,IN,46124,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30124,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6618,-85.9867
125,Corn Belt Commons,1400 Oak Street,Elkhart,Elkhart,IN,46125,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30125,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.671800000000005,-85.9767
126,Indiana Crossroads,1500 Maple Avenue,Elkhart,Elkhart,IN,46126,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30126,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6818,-85.96669999999999
127,Limestone Ridge,1600 Pine Street,Elkhart,Elkhart,IN,46127,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30127,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6918,-85.9567
128,Prairie Creek Manor,1700 Cedar Avenue,Elkhart,Elkhart,IN,46128,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30128,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.elkhart-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.701800000000006,-85.94669999999999
129,Hoosier Heritage Manor,1000 Main Street,Connersville,Fayette,IN,46129,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30129,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.fayette-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
130,Crossroads Commons,1100 State Street,Connersville,Fayette,IN,46130,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30130,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.fayette-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
131,Wabash Valley Care,1200 Washington Street,Connersville,Fayette,IN,46131,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30131,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.fayette-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
132,Circle City Manor,1300 Lincoln Avenue,Connersville,Fayette,IN,46132,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30132,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.fayette-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
133,Corn Belt Commons,1400 Oak Street,Connersville,Fayette,IN,46133,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30133,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.fayette-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
